"translation","chapter","meta_data"
"rvr60-es","1Cor.1","rvr60-es.1Cor.1"
"rvr60-es","1Cor.2","rvr60-es.1Cor.2"
"rvr60-es","1Cor.3","rvr60-es.1Cor.3"
"rvr60-es","1Cor.4","rvr60-es.1Cor.4"
"rvr60-es","1Cor.5","rvr60-es.1Cor.5"
"rvr60-es","1Cor.6","rvr60-es.1Cor.6"
"rvr60-es","1Cor.7","rvr60-es.1Cor.7"
"rvr60-es","1Cor.8","rvr60-es.1Cor.8"
"rvr60-es","1Cor.9","rvr60-es.1Cor.9"
"rvr60-es","1Cor.10","rvr60-es.1Cor.10"
"rvr60-es","1Cor.11","rvr60-es.1Cor.11"
"rvr60-es","1Cor.12","rvr60-es.1Cor.12"
"rvr60-es","1Cor.13","rvr60-es.1Cor.13"
"rvr60-es","1Cor.14","rvr60-es.1Cor.14"
"rvr60-es","1Cor.15","rvr60-es.1Cor.15"
"rvr60-es","1Cor.16","rvr60-es.1Cor.16"
