"translation","chapter","meta_data"
"kjv","1Kgs.1","kjv.1Kgs.1"
"kjv","1Kgs.2","kjv.1Kgs.2"
"kjv","1Kgs.3","kjv.1Kgs.3"
"kjv","1Kgs.4","kjv.1Kgs.4"
"kjv","1Kgs.5","kjv.1Kgs.5"
"kjv","1Kgs.6","kjv.1Kgs.6"
"kjv","1Kgs.7","kjv.1Kgs.7"
"kjv","1Kgs.8","kjv.1Kgs.8"
"kjv","1Kgs.9","kjv.1Kgs.9"
"kjv","1Kgs.10","kjv.1Kgs.10"
"kjv","1Kgs.11","kjv.1Kgs.11"
"kjv","1Kgs.12","kjv.1Kgs.12"
"kjv","1Kgs.13","kjv.1Kgs.13"
"kjv","1Kgs.14","kjv.1Kgs.14"
"kjv","1Kgs.15","kjv.1Kgs.15"
"kjv","1Kgs.16","kjv.1Kgs.16"
"kjv","1Kgs.17","kjv.1Kgs.17"
"kjv","1Kgs.18","kjv.1Kgs.18"
"kjv","1Kgs.19","kjv.1Kgs.19"
"kjv","1Kgs.20","kjv.1Kgs.20"
"kjv","1Kgs.21","kjv.1Kgs.21"
"kjv","1Kgs.22","kjv.1Kgs.22"
