"translation","chapter","meta_data"
"kjv","1Sam.1","kjv.1Sam.1"
"kjv","1Sam.2","kjv.1Sam.2"
"kjv","1Sam.3","kjv.1Sam.3"
"kjv","1Sam.4","kjv.1Sam.4"
"kjv","1Sam.5","kjv.1Sam.5"
"kjv","1Sam.6","kjv.1Sam.6"
"kjv","1Sam.7","kjv.1Sam.7"
"kjv","1Sam.8","kjv.1Sam.8"
"kjv","1Sam.9","kjv.1Sam.9"
"kjv","1Sam.10","kjv.1Sam.10"
"kjv","1Sam.11","kjv.1Sam.11"
"kjv","1Sam.12","kjv.1Sam.12"
"kjv","1Sam.13","kjv.1Sam.13"
"kjv","1Sam.14","kjv.1Sam.14"
"kjv","1Sam.15","kjv.1Sam.15"
"kjv","1Sam.16","kjv.1Sam.16"
"kjv","1Sam.17","kjv.1Sam.17"
"kjv","1Sam.18","kjv.1Sam.18"
"kjv","1Sam.19","kjv.1Sam.19"
"kjv","1Sam.20","kjv.1Sam.20"
"kjv","1Sam.21","kjv.1Sam.21"
"kjv","1Sam.22","kjv.1Sam.22"
"kjv","1Sam.23","kjv.1Sam.23"
"kjv","1Sam.24","kjv.1Sam.24"
"kjv","1Sam.25","kjv.1Sam.25"
"kjv","1Sam.26","kjv.1Sam.26"
"kjv","1Sam.27","kjv.1Sam.27"
"kjv","1Sam.28","kjv.1Sam.28"
"kjv","1Sam.29","kjv.1Sam.29"
"kjv","1Sam.30","kjv.1Sam.30"
"kjv","1Sam.31","kjv.1Sam.31"
