"translation","chapter","meta_data"
"kjv","2Chr.1","kjv.2Chr.1"
"kjv","2Chr.2","kjv.2Chr.2"
"kjv","2Chr.3","kjv.2Chr.3"
"kjv","2Chr.4","kjv.2Chr.4"
"kjv","2Chr.5","kjv.2Chr.5"
"kjv","2Chr.6","kjv.2Chr.6"
"kjv","2Chr.7","kjv.2Chr.7"
"kjv","2Chr.8","kjv.2Chr.8"
"kjv","2Chr.9","kjv.2Chr.9"
"kjv","2Chr.10","kjv.2Chr.10"
"kjv","2Chr.11","kjv.2Chr.11"
"kjv","2Chr.12","kjv.2Chr.12"
"kjv","2Chr.13","kjv.2Chr.13"
"kjv","2Chr.14","kjv.2Chr.14"
"kjv","2Chr.15","kjv.2Chr.15"
"kjv","2Chr.16","kjv.2Chr.16"
"kjv","2Chr.17","kjv.2Chr.17"
"kjv","2Chr.18","kjv.2Chr.18"
"kjv","2Chr.19","kjv.2Chr.19"
"kjv","2Chr.20","kjv.2Chr.20"
"kjv","2Chr.21","kjv.2Chr.21"
"kjv","2Chr.22","kjv.2Chr.22"
"kjv","2Chr.23","kjv.2Chr.23"
"kjv","2Chr.24","kjv.2Chr.24"
"kjv","2Chr.25","kjv.2Chr.25"
"kjv","2Chr.26","kjv.2Chr.26"
"kjv","2Chr.27","kjv.2Chr.27"
"kjv","2Chr.28","kjv.2Chr.28"
"kjv","2Chr.29","kjv.2Chr.29"
"kjv","2Chr.30","kjv.2Chr.30"
"kjv","2Chr.31","kjv.2Chr.31"
"kjv","2Chr.32","kjv.2Chr.32"
"kjv","2Chr.33","kjv.2Chr.33"
"kjv","2Chr.34","kjv.2Chr.34"
"kjv","2Chr.35","kjv.2Chr.35"
"kjv","2Chr.36","kjv.2Chr.36"
