"translation","chapter","meta_data"
"kjv","2Sam.1","kjv.2Sam.1"
"kjv","2Sam.2","kjv.2Sam.2"
"kjv","2Sam.3","kjv.2Sam.3"
"kjv","2Sam.4","kjv.2Sam.4"
"kjv","2Sam.5","kjv.2Sam.5"
"kjv","2Sam.6","kjv.2Sam.6"
"kjv","2Sam.7","kjv.2Sam.7"
"kjv","2Sam.8","kjv.2Sam.8"
"kjv","2Sam.9","kjv.2Sam.9"
"kjv","2Sam.10","kjv.2Sam.10"
"kjv","2Sam.11","kjv.2Sam.11"
"kjv","2Sam.12","kjv.2Sam.12"
"kjv","2Sam.13","kjv.2Sam.13"
"kjv","2Sam.14","kjv.2Sam.14"
"kjv","2Sam.15","kjv.2Sam.15"
"kjv","2Sam.16","kjv.2Sam.16"
"kjv","2Sam.17","kjv.2Sam.17"
"kjv","2Sam.18","kjv.2Sam.18"
"kjv","2Sam.19","kjv.2Sam.19"
"kjv","2Sam.20","kjv.2Sam.20"
"kjv","2Sam.21","kjv.2Sam.21"
"kjv","2Sam.22","kjv.2Sam.22"
"kjv","2Sam.23","kjv.2Sam.23"
"kjv","2Sam.24","kjv.2Sam.24"
