"translation","chapter","meta_data"
"kjv","Acts.1","kjv.Acts.1"
"kjv","Acts.2","kjv.Acts.2"
"kjv","Acts.3","kjv.Acts.3"
"kjv","Acts.4","kjv.Acts.4"
"kjv","Acts.5","kjv.Acts.5"
"kjv","Acts.6","kjv.Acts.6"
"kjv","Acts.7","kjv.Acts.7"
"kjv","Acts.8","kjv.Acts.8"
"kjv","Acts.9","kjv.Acts.9"
"kjv","Acts.10","kjv.Acts.10"
"kjv","Acts.11","kjv.Acts.11"
"kjv","Acts.12","kjv.Acts.12"
"kjv","Acts.13","kjv.Acts.13"
"kjv","Acts.14","kjv.Acts.14"
"kjv","Acts.15","kjv.Acts.15"
"kjv","Acts.16","kjv.Acts.16"
"kjv","Acts.17","kjv.Acts.17"
"kjv","Acts.18","kjv.Acts.18"
"kjv","Acts.19","kjv.Acts.19"
"kjv","Acts.20","kjv.Acts.20"
"kjv","Acts.21","kjv.Acts.21"
"kjv","Acts.22","kjv.Acts.22"
"kjv","Acts.23","kjv.Acts.23"
"kjv","Acts.24","kjv.Acts.24"
"kjv","Acts.25","kjv.Acts.25"
"kjv","Acts.26","kjv.Acts.26"
"kjv","Acts.27","kjv.Acts.27"
"kjv","Acts.28","kjv.Acts.28"
