"translation","chapter","meta_data"
"kjv","Deut.1","kjv.Deut.1"
"kjv","Deut.2","kjv.Deut.2"
"kjv","Deut.3","kjv.Deut.3"
"kjv","Deut.4","kjv.Deut.4"
"kjv","Deut.5","kjv.Deut.5"
"kjv","Deut.6","kjv.Deut.6"
"kjv","Deut.7","kjv.Deut.7"
"kjv","Deut.8","kjv.Deut.8"
"kjv","Deut.9","kjv.Deut.9"
"kjv","Deut.10","kjv.Deut.10"
"kjv","Deut.11","kjv.Deut.11"
"kjv","Deut.12","kjv.Deut.12"
"kjv","Deut.13","kjv.Deut.13"
"kjv","Deut.14","kjv.Deut.14"
"kjv","Deut.15","kjv.Deut.15"
"kjv","Deut.16","kjv.Deut.16"
"kjv","Deut.17","kjv.Deut.17"
"kjv","Deut.18","kjv.Deut.18"
"kjv","Deut.19","kjv.Deut.19"
"kjv","Deut.20","kjv.Deut.20"
"kjv","Deut.21","kjv.Deut.21"
"kjv","Deut.22","kjv.Deut.22"
"kjv","Deut.23","kjv.Deut.23"
"kjv","Deut.24","kjv.Deut.24"
"kjv","Deut.25","kjv.Deut.25"
"kjv","Deut.26","kjv.Deut.26"
"kjv","Deut.27","kjv.Deut.27"
"kjv","Deut.28","kjv.Deut.28"
"kjv","Deut.29","kjv.Deut.29"
"kjv","Deut.30","kjv.Deut.30"
"kjv","Deut.31","kjv.Deut.31"
"kjv","Deut.32","kjv.Deut.32"
"kjv","Deut.33","kjv.Deut.33"
"kjv","Deut.34","kjv.Deut.34"
