"translation","chapter","meta_data"
"kjv","Exod.1","kjv.Exod.1"
"kjv","Exod.2","kjv.Exod.2"
"kjv","Exod.3","kjv.Exod.3"
"kjv","Exod.4","kjv.Exod.4"
"kjv","Exod.5","kjv.Exod.5"
"kjv","Exod.6","kjv.Exod.6"
"kjv","Exod.7","kjv.Exod.7"
"kjv","Exod.8","kjv.Exod.8"
"kjv","Exod.9","kjv.Exod.9"
"kjv","Exod.10","kjv.Exod.10"
"kjv","Exod.11","kjv.Exod.11"
"kjv","Exod.12","kjv.Exod.12"
"kjv","Exod.13","kjv.Exod.13"
"kjv","Exod.14","kjv.Exod.14"
"kjv","Exod.15","kjv.Exod.15"
"kjv","Exod.16","kjv.Exod.16"
"kjv","Exod.17","kjv.Exod.17"
"kjv","Exod.18","kjv.Exod.18"
"kjv","Exod.19","kjv.Exod.19"
"kjv","Exod.20","kjv.Exod.20"
"kjv","Exod.21","kjv.Exod.21"
"kjv","Exod.22","kjv.Exod.22"
"kjv","Exod.23","kjv.Exod.23"
"kjv","Exod.24","kjv.Exod.24"
"kjv","Exod.25","kjv.Exod.25"
"kjv","Exod.26","kjv.Exod.26"
"kjv","Exod.27","kjv.Exod.27"
"kjv","Exod.28","kjv.Exod.28"
"kjv","Exod.29","kjv.Exod.29"
"kjv","Exod.30","kjv.Exod.30"
"kjv","Exod.31","kjv.Exod.31"
"kjv","Exod.32","kjv.Exod.32"
"kjv","Exod.33","kjv.Exod.33"
"kjv","Exod.34","kjv.Exod.34"
"kjv","Exod.35","kjv.Exod.35"
"kjv","Exod.36","kjv.Exod.36"
"kjv","Exod.37","kjv.Exod.37"
"kjv","Exod.38","kjv.Exod.38"
"kjv","Exod.39","kjv.Exod.39"
"kjv","Exod.40","kjv.Exod.40"
