"translation","chapter","meta_data"
"kjv","Ezek.1","kjv.Ezek.1"
"kjv","Ezek.2","kjv.Ezek.2"
"kjv","Ezek.3","kjv.Ezek.3"
"kjv","Ezek.4","kjv.Ezek.4"
"kjv","Ezek.5","kjv.Ezek.5"
"kjv","Ezek.6","kjv.Ezek.6"
"kjv","Ezek.7","kjv.Ezek.7"
"kjv","Ezek.8","kjv.Ezek.8"
"kjv","Ezek.9","kjv.Ezek.9"
"kjv","Ezek.10","kjv.Ezek.10"
"kjv","Ezek.11","kjv.Ezek.11"
"kjv","Ezek.12","kjv.Ezek.12"
"kjv","Ezek.13","kjv.Ezek.13"
"kjv","Ezek.14","kjv.Ezek.14"
"kjv","Ezek.15","kjv.Ezek.15"
"kjv","Ezek.16","kjv.Ezek.16"
"kjv","Ezek.17","kjv.Ezek.17"
"kjv","Ezek.18","kjv.Ezek.18"
"kjv","Ezek.19","kjv.Ezek.19"
"kjv","Ezek.20","kjv.Ezek.20"
"kjv","Ezek.21","kjv.Ezek.21"
"kjv","Ezek.22","kjv.Ezek.22"
"kjv","Ezek.23","kjv.Ezek.23"
"kjv","Ezek.24","kjv.Ezek.24"
"kjv","Ezek.25","kjv.Ezek.25"
"kjv","Ezek.26","kjv.Ezek.26"
"kjv","Ezek.27","kjv.Ezek.27"
"kjv","Ezek.28","kjv.Ezek.28"
"kjv","Ezek.29","kjv.Ezek.29"
"kjv","Ezek.30","kjv.Ezek.30"
"kjv","Ezek.31","kjv.Ezek.31"
"kjv","Ezek.32","kjv.Ezek.32"
"kjv","Ezek.33","kjv.Ezek.33"
"kjv","Ezek.34","kjv.Ezek.34"
"kjv","Ezek.35","kjv.Ezek.35"
"kjv","Ezek.36","kjv.Ezek.36"
"kjv","Ezek.37","kjv.Ezek.37"
"kjv","Ezek.38","kjv.Ezek.38"
"kjv","Ezek.39","kjv.Ezek.39"
"kjv","Ezek.40","kjv.Ezek.40"
"kjv","Ezek.41","kjv.Ezek.41"
"kjv","Ezek.42","kjv.Ezek.42"
"kjv","Ezek.43","kjv.Ezek.43"
"kjv","Ezek.44","kjv.Ezek.44"
"kjv","Ezek.45","kjv.Ezek.45"
"kjv","Ezek.46","kjv.Ezek.46"
"kjv","Ezek.47","kjv.Ezek.47"
"kjv","Ezek.48","kjv.Ezek.48"
