"translation","chapter","meta_data"
"kjv","Jer.1","kjv.Jer.1"
"kjv","Jer.2","kjv.Jer.2"
"kjv","Jer.3","kjv.Jer.3"
"kjv","Jer.4","kjv.Jer.4"
"kjv","Jer.5","kjv.Jer.5"
"kjv","Jer.6","kjv.Jer.6"
"kjv","Jer.7","kjv.Jer.7"
"kjv","Jer.8","kjv.Jer.8"
"kjv","Jer.9","kjv.Jer.9"
"kjv","Jer.10","kjv.Jer.10"
"kjv","Jer.11","kjv.Jer.11"
"kjv","Jer.12","kjv.Jer.12"
"kjv","Jer.13","kjv.Jer.13"
"kjv","Jer.14","kjv.Jer.14"
"kjv","Jer.15","kjv.Jer.15"
"kjv","Jer.16","kjv.Jer.16"
"kjv","Jer.17","kjv.Jer.17"
"kjv","Jer.18","kjv.Jer.18"
"kjv","Jer.19","kjv.Jer.19"
"kjv","Jer.20","kjv.Jer.20"
"kjv","Jer.21","kjv.Jer.21"
"kjv","Jer.22","kjv.Jer.22"
"kjv","Jer.23","kjv.Jer.23"
"kjv","Jer.24","kjv.Jer.24"
"kjv","Jer.25","kjv.Jer.25"
"kjv","Jer.26","kjv.Jer.26"
"kjv","Jer.27","kjv.Jer.27"
"kjv","Jer.28","kjv.Jer.28"
"kjv","Jer.29","kjv.Jer.29"
"kjv","Jer.30","kjv.Jer.30"
"kjv","Jer.31","kjv.Jer.31"
"kjv","Jer.32","kjv.Jer.32"
"kjv","Jer.33","kjv.Jer.33"
"kjv","Jer.34","kjv.Jer.34"
"kjv","Jer.35","kjv.Jer.35"
"kjv","Jer.36","kjv.Jer.36"
"kjv","Jer.37","kjv.Jer.37"
"kjv","Jer.38","kjv.Jer.38"
"kjv","Jer.39","kjv.Jer.39"
"kjv","Jer.40","kjv.Jer.40"
"kjv","Jer.41","kjv.Jer.41"
"kjv","Jer.42","kjv.Jer.42"
"kjv","Jer.43","kjv.Jer.43"
"kjv","Jer.44","kjv.Jer.44"
"kjv","Jer.45","kjv.Jer.45"
"kjv","Jer.46","kjv.Jer.46"
"kjv","Jer.47","kjv.Jer.47"
"kjv","Jer.48","kjv.Jer.48"
"kjv","Jer.49","kjv.Jer.49"
"kjv","Jer.50","kjv.Jer.50"
"kjv","Jer.51","kjv.Jer.51"
"kjv","Jer.52","kjv.Jer.52"
