"translation","chapter","meta_data"
"kjv","Josh.1","kjv.Josh.1"
"kjv","Josh.2","kjv.Josh.2"
"kjv","Josh.3","kjv.Josh.3"
"kjv","Josh.4","kjv.Josh.4"
"kjv","Josh.5","kjv.Josh.5"
"kjv","Josh.6","kjv.Josh.6"
"kjv","Josh.7","kjv.Josh.7"
"kjv","Josh.8","kjv.Josh.8"
"kjv","Josh.9","kjv.Josh.9"
"kjv","Josh.10","kjv.Josh.10"
"kjv","Josh.11","kjv.Josh.11"
"kjv","Josh.12","kjv.Josh.12"
"kjv","Josh.13","kjv.Josh.13"
"kjv","Josh.14","kjv.Josh.14"
"kjv","Josh.15","kjv.Josh.15"
"kjv","Josh.16","kjv.Josh.16"
"kjv","Josh.17","kjv.Josh.17"
"kjv","Josh.18","kjv.Josh.18"
"kjv","Josh.19","kjv.Josh.19"
"kjv","Josh.20","kjv.Josh.20"
"kjv","Josh.21","kjv.Josh.21"
"kjv","Josh.22","kjv.Josh.22"
"kjv","Josh.23","kjv.Josh.23"
"kjv","Josh.24","kjv.Josh.24"
