"translation","chapter","meta_data"
"kjv","Judg.1","kjv.Judg.1"
"kjv","Judg.2","kjv.Judg.2"
"kjv","Judg.3","kjv.Judg.3"
"kjv","Judg.4","kjv.Judg.4"
"kjv","Judg.5","kjv.Judg.5"
"kjv","Judg.6","kjv.Judg.6"
"kjv","Judg.7","kjv.Judg.7"
"kjv","Judg.8","kjv.Judg.8"
"kjv","Judg.9","kjv.Judg.9"
"kjv","Judg.10","kjv.Judg.10"
"kjv","Judg.11","kjv.Judg.11"
"kjv","Judg.12","kjv.Judg.12"
"kjv","Judg.13","kjv.Judg.13"
"kjv","Judg.14","kjv.Judg.14"
"kjv","Judg.15","kjv.Judg.15"
"kjv","Judg.16","kjv.Judg.16"
"kjv","Judg.17","kjv.Judg.17"
"kjv","Judg.18","kjv.Judg.18"
"kjv","Judg.19","kjv.Judg.19"
"kjv","Judg.20","kjv.Judg.20"
"kjv","Judg.21","kjv.Judg.21"
