"translation","chapter","meta_data"
"rvr60-es","Luke.1","rvr60-es.Luke.1"
"rvr60-es","Luke.2","rvr60-es.Luke.2"
"rvr60-es","Luke.3","rvr60-es.Luke.3"
"rvr60-es","Luke.4","rvr60-es.Luke.4"
"rvr60-es","Luke.5","rvr60-es.Luke.5"
"rvr60-es","Luke.6","rvr60-es.Luke.6"
"rvr60-es","Luke.7","rvr60-es.Luke.7"
"rvr60-es","Luke.8","rvr60-es.Luke.8"
"rvr60-es","Luke.9","rvr60-es.Luke.9"
"rvr60-es","Luke.10","rvr60-es.Luke.10"
"rvr60-es","Luke.11","rvr60-es.Luke.11"
"rvr60-es","Luke.12","rvr60-es.Luke.12"
"rvr60-es","Luke.13","rvr60-es.Luke.13"
"rvr60-es","Luke.14","rvr60-es.Luke.14"
"rvr60-es","Luke.15","rvr60-es.Luke.15"
"rvr60-es","Luke.16","rvr60-es.Luke.16"
"rvr60-es","Luke.17","rvr60-es.Luke.17"
"rvr60-es","Luke.18","rvr60-es.Luke.18"
"rvr60-es","Luke.19","rvr60-es.Luke.19"
"rvr60-es","Luke.20","rvr60-es.Luke.20"
"rvr60-es","Luke.21","rvr60-es.Luke.21"
"rvr60-es","Luke.22","rvr60-es.Luke.22"
"rvr60-es","Luke.23","rvr60-es.Luke.23"
"rvr60-es","Luke.24","rvr60-es.Luke.24"
