"translation","chapter","meta_data"
"rvr60-es","Mark.1","rvr60-es.Mark.1"
"rvr60-es","Mark.2","rvr60-es.Mark.2"
"rvr60-es","Mark.3","rvr60-es.Mark.3"
"rvr60-es","Mark.4","rvr60-es.Mark.4"
"rvr60-es","Mark.5","rvr60-es.Mark.5"
"rvr60-es","Mark.6","rvr60-es.Mark.6"
"rvr60-es","Mark.7","rvr60-es.Mark.7"
"rvr60-es","Mark.8","rvr60-es.Mark.8"
"rvr60-es","Mark.9","rvr60-es.Mark.9"
"rvr60-es","Mark.10","rvr60-es.Mark.10"
"rvr60-es","Mark.11","rvr60-es.Mark.11"
"rvr60-es","Mark.12","rvr60-es.Mark.12"
"rvr60-es","Mark.13","rvr60-es.Mark.13"
"rvr60-es","Mark.14","rvr60-es.Mark.14"
"rvr60-es","Mark.15","rvr60-es.Mark.15"
"rvr60-es","Mark.16","rvr60-es.Mark.16"
