"translation","chapter","meta_data"
"kjv","Num.1","kjv.Num.1"
"kjv","Num.2","kjv.Num.2"
"kjv","Num.3","kjv.Num.3"
"kjv","Num.4","kjv.Num.4"
"kjv","Num.5","kjv.Num.5"
"kjv","Num.6","kjv.Num.6"
"kjv","Num.7","kjv.Num.7"
"kjv","Num.8","kjv.Num.8"
"kjv","Num.9","kjv.Num.9"
"kjv","Num.10","kjv.Num.10"
"kjv","Num.11","kjv.Num.11"
"kjv","Num.12","kjv.Num.12"
"kjv","Num.13","kjv.Num.13"
"kjv","Num.14","kjv.Num.14"
"kjv","Num.15","kjv.Num.15"
"kjv","Num.16","kjv.Num.16"
"kjv","Num.17","kjv.Num.17"
"kjv","Num.18","kjv.Num.18"
"kjv","Num.19","kjv.Num.19"
"kjv","Num.20","kjv.Num.20"
"kjv","Num.21","kjv.Num.21"
"kjv","Num.22","kjv.Num.22"
"kjv","Num.23","kjv.Num.23"
"kjv","Num.24","kjv.Num.24"
"kjv","Num.25","kjv.Num.25"
"kjv","Num.26","kjv.Num.26"
"kjv","Num.27","kjv.Num.27"
"kjv","Num.28","kjv.Num.28"
"kjv","Num.29","kjv.Num.29"
"kjv","Num.30","kjv.Num.30"
"kjv","Num.31","kjv.Num.31"
"kjv","Num.32","kjv.Num.32"
"kjv","Num.33","kjv.Num.33"
"kjv","Num.34","kjv.Num.34"
"kjv","Num.35","kjv.Num.35"
"kjv","Num.36","kjv.Num.36"
