"translation","chapter","meta_data"
"kjv","Prov.1","kjv.Prov.1"
"kjv","Prov.2","kjv.Prov.2"
"kjv","Prov.3","kjv.Prov.3"
"kjv","Prov.4","kjv.Prov.4"
"kjv","Prov.5","kjv.Prov.5"
"kjv","Prov.6","kjv.Prov.6"
"kjv","Prov.7","kjv.Prov.7"
"kjv","Prov.8","kjv.Prov.8"
"kjv","Prov.9","kjv.Prov.9"
"kjv","Prov.10","kjv.Prov.10"
"kjv","Prov.11","kjv.Prov.11"
"kjv","Prov.12","kjv.Prov.12"
"kjv","Prov.13","kjv.Prov.13"
"kjv","Prov.14","kjv.Prov.14"
"kjv","Prov.15","kjv.Prov.15"
"kjv","Prov.16","kjv.Prov.16"
"kjv","Prov.17","kjv.Prov.17"
"kjv","Prov.18","kjv.Prov.18"
"kjv","Prov.19","kjv.Prov.19"
"kjv","Prov.20","kjv.Prov.20"
"kjv","Prov.21","kjv.Prov.21"
"kjv","Prov.22","kjv.Prov.22"
"kjv","Prov.23","kjv.Prov.23"
"kjv","Prov.24","kjv.Prov.24"
"kjv","Prov.25","kjv.Prov.25"
"kjv","Prov.26","kjv.Prov.26"
"kjv","Prov.27","kjv.Prov.27"
"kjv","Prov.28","kjv.Prov.28"
"kjv","Prov.29","kjv.Prov.29"
"kjv","Prov.30","kjv.Prov.30"
"kjv","Prov.31","kjv.Prov.31"
