"translation","chapter","meta_data"
"rvr60-es","Rev.1","rvr60-es.Rev.1"
"rvr60-es","Rev.2","rvr60-es.Rev.2"
"rvr60-es","Rev.3","rvr60-es.Rev.3"
"rvr60-es","Rev.4","rvr60-es.Rev.4"
"rvr60-es","Rev.5","rvr60-es.Rev.5"
"rvr60-es","Rev.6","rvr60-es.Rev.6"
"rvr60-es","Rev.7","rvr60-es.Rev.7"
"rvr60-es","Rev.8","rvr60-es.Rev.8"
"rvr60-es","Rev.9","rvr60-es.Rev.9"
"rvr60-es","Rev.10","rvr60-es.Rev.10"
"rvr60-es","Rev.11","rvr60-es.Rev.11"
"rvr60-es","Rev.12","rvr60-es.Rev.12"
"rvr60-es","Rev.13","rvr60-es.Rev.13"
"rvr60-es","Rev.14","rvr60-es.Rev.14"
"rvr60-es","Rev.15","rvr60-es.Rev.15"
"rvr60-es","Rev.16","rvr60-es.Rev.16"
"rvr60-es","Rev.17","rvr60-es.Rev.17"
"rvr60-es","Rev.18","rvr60-es.Rev.18"
"rvr60-es","Rev.19","rvr60-es.Rev.19"
"rvr60-es","Rev.20","rvr60-es.Rev.20"
"rvr60-es","Rev.21","rvr60-es.Rev.21"
"rvr60-es","Rev.22","rvr60-es.Rev.22"
