"translation","chapter","meta_data"
"rvr60-es","Rom.1","rvr60-es.Rom.1"
"rvr60-es","Rom.2","rvr60-es.Rom.2"
"rvr60-es","Rom.3","rvr60-es.Rom.3"
"rvr60-es","Rom.4","rvr60-es.Rom.4"
"rvr60-es","Rom.5","rvr60-es.Rom.5"
"rvr60-es","Rom.6","rvr60-es.Rom.6"
"rvr60-es","Rom.7","rvr60-es.Rom.7"
"rvr60-es","Rom.8","rvr60-es.Rom.8"
"rvr60-es","Rom.9","rvr60-es.Rom.9"
"rvr60-es","Rom.10","rvr60-es.Rom.10"
"rvr60-es","Rom.11","rvr60-es.Rom.11"
"rvr60-es","Rom.12","rvr60-es.Rom.12"
"rvr60-es","Rom.13","rvr60-es.Rom.13"
"rvr60-es","Rom.14","rvr60-es.Rom.14"
"rvr60-es","Rom.15","rvr60-es.Rom.15"
"rvr60-es","Rom.16","rvr60-es.Rom.16"
