"translation","chapter","meta_data"
"kjv","Gen.1","kjv.Gen.1"
"kjv","Gen.2","kjv.Gen.2"
"kjv","Gen.3","kjv.Gen.3"
"kjv","Gen.4","kjv.Gen.4"
"kjv","Gen.5","kjv.Gen.5"
"kjv","Gen.6","kjv.Gen.6"
"kjv","Gen.7","kjv.Gen.7"
"kjv","Gen.8","kjv.Gen.8"
"kjv","Gen.9","kjv.Gen.9"
"kjv","Gen.10","kjv.Gen.10"
"kjv","Gen.11","kjv.Gen.11"
"kjv","Gen.12","kjv.Gen.12"
"kjv","Gen.13","kjv.Gen.13"
"kjv","Gen.14","kjv.Gen.14"
"kjv","Gen.15","kjv.Gen.15"
"kjv","Gen.16","kjv.Gen.16"
"kjv","Gen.17","kjv.Gen.17"
"kjv","Gen.18","kjv.Gen.18"
"kjv","Gen.19","kjv.Gen.19"
"kjv","Gen.20","kjv.Gen.20"
"kjv","Gen.21","kjv.Gen.21"
"kjv","Gen.22","kjv.Gen.22"
"kjv","Gen.23","kjv.Gen.23"
"kjv","Gen.24","kjv.Gen.24"
"kjv","Gen.25","kjv.Gen.25"
"kjv","Gen.26","kjv.Gen.26"
"kjv","Gen.27","kjv.Gen.27"
"kjv","Gen.28","kjv.Gen.28"
"kjv","Gen.29","kjv.Gen.29"
"kjv","Gen.30","kjv.Gen.30"
"kjv","Gen.31","kjv.Gen.31"
"kjv","Gen.32","kjv.Gen.32"
"kjv","Gen.33","kjv.Gen.33"
"kjv","Gen.34","kjv.Gen.34"
"kjv","Gen.35","kjv.Gen.35"
"kjv","Gen.36","kjv.Gen.36"
"kjv","Gen.37","kjv.Gen.37"
"kjv","Gen.38","kjv.Gen.38"
"kjv","Gen.39","kjv.Gen.39"
"kjv","Gen.40","kjv.Gen.40"
"kjv","Gen.41","kjv.Gen.41"
"kjv","Gen.42","kjv.Gen.42"
"kjv","Gen.43","kjv.Gen.43"
"kjv","Gen.44","kjv.Gen.44"
"kjv","Gen.45","kjv.Gen.45"
"kjv","Gen.46","kjv.Gen.46"
"kjv","Gen.47","kjv.Gen.47"
"kjv","Gen.48","kjv.Gen.48"
"kjv","Gen.49","kjv.Gen.49"
"kjv","Gen.50","kjv.Gen.50"
"kjv","Exod.1","kjv.Exod.1"
"kjv","Exod.2","kjv.Exod.2"
"kjv","Exod.3","kjv.Exod.3"
"kjv","Exod.4","kjv.Exod.4"
"kjv","Exod.5","kjv.Exod.5"
"kjv","Exod.6","kjv.Exod.6"
"kjv","Exod.7","kjv.Exod.7"
"kjv","Exod.8","kjv.Exod.8"
"kjv","Exod.9","kjv.Exod.9"
"kjv","Exod.10","kjv.Exod.10"
"kjv","Exod.11","kjv.Exod.11"
"kjv","Exod.12","kjv.Exod.12"
"kjv","Exod.13","kjv.Exod.13"
"kjv","Exod.14","kjv.Exod.14"
"kjv","Exod.15","kjv.Exod.15"
"kjv","Exod.16","kjv.Exod.16"
"kjv","Exod.17","kjv.Exod.17"
"kjv","Exod.18","kjv.Exod.18"
"kjv","Exod.19","kjv.Exod.19"
"kjv","Exod.20","kjv.Exod.20"
